model,data,epochs,batch size,best epoch,precision,recall,f1,mAP50,mAP50_95,loss
YOLO11s,split-1,100,8,31,0.993,0.341,0.507,0.415,0.233,1.212
YOLO11s,split-1+interval-10,1000,8,41,0.964,0.192,0.320,0.477,0.227,1.079
YOLO11n,split-1,169,8,19,1.000,0.199,0.332,0.426,0.243,1.136
YOLO11n,split-1+interval-10,515,8,15,0.975,0.104,0.188,0.280,0.133,1.084
Faster_RCNN,split-2+interval-10,51,split-2+interval-10,,0.8233618233618234,0.21729323308270676,0.3438429506246282,0.32213169270086617,0.1549772844476113,1.2479017972946167
YOLO11s,split-1,300,8,299,1.0,0.06578947368421052,0.12345679012345677,0.15322188129265987,0.08997466522317343,1.0325275659561157
YOLO11s,split-1(2),611,8,584,0.29850746268656714,0.0015839074998020115,0.003151095005514416,0.002318856762290854,0.0006624830468876263,0.9190672636032104
YOLO11n,split-1(2),489,8,189,0.16702819956616052,0.006098043874237745,0.011766503667481663,0.008361903995607,0.001256952786937219,0.9453466534614563
YOLO5n,split-1,198,8,98,0.9775280898876404,0.1962406015037594,0.32686286787726987,0.3805978569827648,0.20690550316549738,1.1304939985275269
YOLO11n from scratch,split-1,258,8,190,0.912472647702407,0.15629685157421289,0.26687999999999995,0.23670911933144176,0.14485761134720243,1.089770793914795
YOLO11n,split-1+label-5,126,8,,0.9061976549413735,0.3274818401937046,0.48110271231658513,0.45047751523148966,0.28618704199351525,1.165931224822998
YOLO11n,split-1+label-5,126,8,,0.9051580698835274,0.20389805097451275,0.3328234934230651,0.280091560179772,0.17664650504519402,1.1095867156982422
YOLO11n,split-1+label-5_2,469,8,,0.9971910112359551,0.1330584707646177,0.23478835978835977,0.1716629392144313,0.09380861978929342,1.0892918109893799
YOLO11n,split-2,105,8,,0.8511627906976744,0.06859070464767617,0.12695109261186266,0.09087878181515668,0.06443590883456632,1.0705169439315796
Faster_RCNN,split-1+interval-5+label-3+distance-(0-200),51,1,,0.9776304888152444,0.7799074686054197,0.8676470588235294,0.8998088613730066,0.4676653003671527,1.4959230422973633
Faster_RCNN,split-1+interval-5+label-3+distance-(0-200),10,1,,0.9800362976406534,0.713813615333774,0.8260038240917782,0.8230468771080528,0.42063867213970685,1.6003776788711548
Faster_RCNN,split-1+interval-5+label-3+distance-(0-200),10,1,,0.6298802706923478,0.7997356245869134,0.7047175305765871,1.4310156380208332,0.4318820072422497,1.1137769222259521
Faster_RCNN,split-1+interval-5+distance-(0-200),10,2,,0.6853146853146853,0.712491738268341,0.6986390149060272,1.6983473963880278,0.5011674284680111,1.0335938930511475
Faster_RCNN,split-1+interval-5+distance-(0-200),99,4,,0.7132493318060328,1.2346331791143423,0.9041626331074539,2.913562835343334,0.6968971981787588,1.0322372913360596
Faster_RCNN,split-2+interval-5+distance-(0-200),50,4,,0.6953541507996953,1.206873760740251,0.8823387291616331,2.6304910604686107,0.5872132958868128,1.028226613998413
Faster_RCNN,split-3+interval-5+distance-(0-200),50,4,,0.7878001297858533,1.6047587574355584,1.0568008705114253,3.620926099443962,0.8706228589138277,1.0285871028900146
